pitch shifting,pitch shifting down,pitch shifting up,time stretching,time stretching down,time stretching up,reverberation,noise,sample_id
0.03535740999948411,0.06138297915458679,0.012867593765258811,0.22321684285998344,0.11952602035469484,0.32690766536527205,0.5117507159709931,0.3329807756976648,0
0.001424338136400527,0.0015158891677856667,0.0014752209186553733,0.1214190969864527,0.14662101202540923,0.09621718194749618,0.7614543376374059,0.8246409227360181,0
0.02878160703749888,0.03800588846206665,0.022435486316680908,0.02160967058605623,0.0010658237669203263,0.04215351740519202,0.08272511959075923,0.13248606703498145,0
0.13194895003523144,0.01740258336067202,0.2596902117133141,0.4377962695046639,0.4873210838737173,0.38827145513561034,0.8701812110841274,0.814524701363851,1
0.0008365653810047391,0.0007261335849761963,0.001030653715133667,0.08375156091319191,0.11855221125814652,0.048950910568237305,0.4419075727462769,0.8183047160895182,1
0.009383570580255407,0.01373479366302488,0.005970704555511519,0.002930078241560219,0.0022904806666903532,0.0035696758164299736,0.0018346667289733665,0.001529503952373168,1
5.11436235337559e-05,5.170106887819603e-05,5.570054054260254e-05,2.2461016972896708e-05,3.5372045305015476e-05,9.549988640666918e-06,0.00024112462997438744,0.540073279376057,2
0.000630424136207175,-0.0004295051097870095,0.0017533957958221214,0.03166016936302185,0.05873768859439421,0.0045826501316494905,0.028515219688415527,0.6467397607921364,2
3.736927395769918e-05,2.828240394592285e-05,5.019307136533424e-05,2.821286519405497e-06,5.828009711494886e-07,5.059772067550483e-06,1.3518333435103003e-05,2.5933439081415877e-05,2
0.09490133325258887,0.0001049041748046875,0.199187895655632,0.2674032631847594,0.39545192321141565,0.1393546031581031,0.6718566998839378,0.7558815037563564,3
0.004942925203414217,0.000719642639160134,0.009660500288009688,0.0034127897686428987,0.0014639231893751603,0.005361656347910526,0.01871511936187742,0.707526620302815,3
4.9877734411341024e-05,2.0265579225853259e-07,0.00010454058647157982,5.130304230582805e-05,5.861785676741782e-05,4.398822784423828e-05,0.006992793083190896,0.00011337345296691392,3
-0.0017928991998944488,-0.0013407409191131814,-0.0024243474006653276,0.19414615093006027,0.2612181463175349,0.1270741555425856,0.24886491149663925,0.5518004852630259,4
0.059007349468412906,0.025432115793228127,0.09848331809043886,0.16287655880053842,0.1965450495481491,0.12920806805292762,0.40197405666112895,0.7286975316071391,4
0.0011962794122242215,-0.007626336812972978,0.010138523578643754,0.012983762555652145,0.0038203265931870956,0.022147198518117306,0.059282124042510986,-0.010078435594385371,4
0.0582298877693358,0.03739730119705198,0.08488547503948207,0.002374658981958988,0.005717469586266399,-0.0009681516223483122,0.0006892204284667525,0.21563868631016125,5
0.060669782615843326,0.05510956048965454,0.07229698300361631,0.01677752203411531,0.03144419855541658,0.0021108455128140413,0.021325969696044944,0.8189336871516637,5
2.1574043092220663e-05,3.009438514711693e-05,1.5211105346635279e-05,0.0002339184284210205,0.00040749708811438357,6.033976872765745e-05,0.0012443780899047407,0.016982219435951906,5
0.1808753751573109,0.29694801270961757,0.08289027512073521,0.04812559319867027,0.06706511643197799,0.02918606996536255,0.527722142636776,0.47332398762757133,6
0.02289681491397677,1.3333559036210474e-05,0.048069977760314964,0.11653851221005118,0.11884599924087524,0.11423102517922723,0.8671312935417518,0.7822835383637787,6
0.014964816116151303,0.01400724649429319,0.01741886734962461,0.0022515488995445976,0.003508243295881508,0.0009948545032076872,0.0011468052864074263,0.019529553976925906,6
0.026246612980252215,0.06743153929710388,-0.012313652038574263,0.01343291666772628,0.008373147911495682,0.01849268542395699,0.16645609736442568,0.4834183114157482,7
0.000506239277975884,0.0002292633056640847,0.0008338391780853271,0.02366982234848869,0.00454145007663298,0.0427981946203444,0.2952715087449178,0.7917320848262699,7
0.01027889762605938,0.009482747316360451,0.012102937698364236,0.005213664637671589,0.009408831596374512,0.0010184976789686662,0.006333148479461648,0.001321846788579717,7
0.0861891380378178,0.1585842996835709,0.02241289019584658,0.002628528409533981,-0.000809172789255741,0.006066229608323814,0.44198265075683596,0.39587603509426117,8
0.04354933897654212,0.003950178623199463,0.08750343322753906,0.005265156428019169,0.007679177655114056,0.002851135200924393,0.5635594515129924,0.683588125446642,8
0.06889694361459642,0.007587730884552002,0.13709585070610042,0.037951429684956905,0.04270795318815446,0.033194906181759354,0.22586001753807072,0.009175712412053838,8
0.17664325201795217,0.03585421442985537,0.33509661480784414,0.4247431445465837,0.5539675249019638,0.2955187641912036,0.8003933024127037,0.8040476541642544,9
0.0006660535222008379,0.001312184333801314,8.652806282039016e-05,0.1021960485312674,0.18835129506058168,0.016040802001953125,0.2648617267608643,0.6657380981963467,9
0.006020358630589029,0.005186349153518677,0.007456403970718339,0.001357664664586422,0.0026304854287041435,8.48439004685897e-05,0.0014236688613891157,0.0020679235458374023,9
0.02449853363491239,9.673237800600365e-05,0.051350188255310014,0.2798954999355677,0.364646295224601,0.19514470464653444,0.7366214281355496,0.7159423892649928,10
0.0008171456200736227,-5.542635917665795e-05,0.0017714321613311323,0.13385722455051208,0.13420514431264663,0.13350930478837753,0.7622771490365267,0.8131379413032185,10
0.0036783927962893426,0.0064074695110321045,0.0013171553611754927,0.007783552010854122,0.013840562767452713,0.0017265412542555314,0.005588185787200883,0.005485838109796748,10
0.0007664703187488797,-5.9640407562233655e-05,0.0016692280769348145,0.18711848432819045,0.28712082654237747,0.08711614211400354,0.6715916893444955,0.5482559315999176,11
0.0002940353893098324,0.0005185067653655784,9.89675521850808e-05,0.00511445601781213,0.006403956148359535,0.003824955887264725,0.14113914966583252,0.8023063303394751,11
0.09040304166930058,0.03303642868995671,0.15680998861789708,0.06059457196129692,0.11989215347501969,0.0012969904475741423,0.009678637981414773,-0.013885037465529049,11
0.11559591974530903,0.19084782600402828,0.051903593540191695,0.05692206488715279,0.12184740437401664,-0.008003274599711063,0.6652221232652664,0.4000119960612871,12
0.10815583808081486,0.16288326978683476,0.06424399018287663,0.030335813760757446,0.05258141623602974,0.00809021128548515,0.06315927505493169,0.8155712231324928,12
0.0013170412608555226,0.0017678976058960183,0.0009978890419006792,0.07213374806774986,0.14271309309535551,0.0015544030401442033,0.0028984546661376953,0.019065369259227416,12
0.04591536025206244,0.04269449114799495,0.05372769385576248,0.36848033990504014,0.43992651388463044,0.29703416592544984,0.508328540623188,0.7325608681329123,13
0.02002439328602379,0.00659903883934021,0.035452187061309814,0.004020081626044392,0.007268620861901165,0.0007715423901876184,0.07601433992385864,0.8227206675691847,13
3.939299356370274e-05,1.2838840484641345e-05,6.988644599914551e-05,6.174378924894697e-05,9.421507517493044e-05,2.9272503323074517e-05,0.0014758944511413796,0.08541317419572314,13
0.31365703223716646,0.49291123673319814,0.16576853096485133,0.03800429900487268,0.06999625100029838,0.006012347009446861,0.3961956977844239,0.8214181480103765,14
0.1983677588758015,0.2619489639997482,0.15462332963943481,0.032869504557715534,0.05847213665644324,0.0072668724589877165,0.0527434706687927,0.7717246905696078,14
0.0006157755851745605,0.0011133432388306108,0.00017978549003605515,0.004044032759136673,0.007771439022488114,0.0003166264957852327,0.0104730606079102,0.011341176249764162,14
0.2477416731417179,0.3421279821544886,0.17812954336404802,-0.20679638286431634,-0.10237027208010352,-0.31122249364852905,-0.35470702648162844,0.11608159857463429,15
0.01957402910505024,0.023764967918395996,0.017340493202209428,0.043132785293791054,0.01326792769961882,0.07299764288796318,0.030364263057708785,0.6054942245510491,15
3.191119148615584e-05,2.6345252990278567e-06,6.437897682187721e-05,7.450580596923828e-05,5.8088037702797024e-05,9.092357423567954e-05,0.00019377470016479492,0.10243902965025464,15
0.2610707350430035,0.4553230606019497,0.09292547106742854,0.013009197182125565,0.04643673366970491,-0.02041833930545378,0.01922023296356201,0.6438829609700902,16
0.12403043678828651,0.17742233872413637,0.08304157853126526,0.0161733196841346,0.032083067629072426,0.00026357173919677734,0.021403479576110884,0.817793312803422,16
0.0011428112075442254,0.00014165639877317115,0.00225824713706968,1.647075017296995e-05,2.4610095553878608e-05,8.33140479195027e-06,0.00046193599700927734,0.0072389786893670705,16
